Abbrv.,Strength,Tot
AFA,-7.66,-7.36
AKR,-21.92,-6.98
ALA,18.58,-1.24
APP,-2.53,6.47
ARIZ,7.87,4.73
ARK,-2.02,1.38
ARMY,-10.41,-7.15
ARST,-8.81,9.23
ASU,-3.78,-0.58
AUB,7.29,-0.31
BALL,-16.64,-5.64
BAY,-3.56,8.18
BC,-1.26,2.4
BGSU,-8.14,-0.82
BSU,3.43,3.33
BUFF,-13.94,-3.54
BYU,-3.13,0.95
CAL,3.6,6
CCU,-10.31,2.03
CHAR,-16.53,-5.23
CIN,-5.32,-0.08
CLEM,13.63,-2.43
CMU,-13.23,2.43
COLO,1.93,6.31
CONN,-16.16,-6.6
CSU,-11.5,1.9
DEL,,
DUKE,-0.38,-4.58
ECU,-9.7,-9.86
EMU,-17.86,-2.3
FAU,-11.63,-1.25
FIU,-16.87,5.69
FLA,7.32,3.7
FRES,-3.46,1.16
FSU,13.81,-2.29
GASO,-11.26,9.3
GSU,-15.74,2
GT,2.45,8.79
HAW,-16.67,2.65
HOU,-4.9,3.4
ILL,-0.4,6.9
IOWA,7.35,-10.75
ISU,9.97,-0.09
IU,2.39,1.75
JMU,-5.82,2.12
JSU,-9.03,0.65
KENT,-29.87,2.03
KSU,8.82,-3.97
KES,-21.87,2.78
KU,8.3,9.36
LIB,1.6,11.06
LOU,10.35,-0.79
LSU,12.69,10.09
LT,-17.84,6.32
M-OH,-4.21,-6.73
MASS,-19.85,6.89
MD,1.73,-0.27
MEM,-0.73,9.41
MIA,12.96,1.36
MICH,14.06,-7.08
MINN,0.18,2.34
MISS,14.81,5.09
MIZZ,13.04,4.12
MOSU,,
MRSH,-11.2,-2.4
MSST,-1.16,1.64
MSU,-2.78,-2.06
MTU,-13.13,4.19
NAVY,-13.12,-6.54
NCST,6.54,-1.68
ND,13.36,-1.74
NEB,3.06,-8.56
NEV,-20.05,-1.49
NIU,-11.45,-2.05
NMSU,-16.37,-8.25
NW,-3.42,0.02
ODU,-11.63,0.81
OHIO,-14.26,-9.66
OKLA,14.33,7.13
OKST,5.07,8.27
ORE,19.55,3.47
ORST,-0.49,-4.89
OSU,23.02,-1.04
PITT,-2.89,3.41
PSU,18.29,-7.15
PUR,-0.12,3.88
RICE,-8.84,0.4
RUTG,1.97,-6.03
SDSU,-9.09,-6.17
SHSU,-16.19,-3.53
SJSU,-7.17,-0.55
SMU,9.1,7.9
SOCAR,5.25,-2.23
STAN,-4.81,0.93
SYR,-0.64,-0.36
TAM,16.8,-0.52
TCU,6.58,8.98
TEM,-26.01,-1.19
TENN,14.1,7.5
TEX,20.33,5.19
TLSA,-16.8,8.2
TOL,-7.16,1.3
TROY,-9.1,-5.28
TTU,2.21,6.33
TULN,-2.71,-7.91
TXST,-6.83,11.29
UAB,-12.75,11.85
UCF,6.78,3.9
UCLA,-1.1,-3.1
UGA,22.61,3.19
UK,5.7,-3.28
ULL,-6.68,6.18
ULM,-22.24,2.1
UNC,2.14,8.64
UNLV,-6.11,6.39
UNM,-17.4,1.28
UNT,-12.56,14.44
USA,-6.86,-4.82
USC,8.82,7.16
USF,-9.43,15.49
USM,-15.52,1.42
USU,-11.7,9.78
UTAH,12.68,1.96
UTEP,-18.49,0.83
UTSA,-1.04,1.36
UVA,-1.64,4.9
VAN,-8.03,2.51
VT,7.78,2.02
WAKE,-4.21,0.23
WASH,7.87,2.13
WIS,4.1,-1.3
WKU,-9.45,7.47
WMU,-14.8,4.8
WSU,-3.5,3.32
WVU,6.9,5.3
WYO,-8.49,-7.51
