AIR FORCE,AFA
AKRON,AKR
ALABAMA,ALA
APP STATE,APP
ARIZONA,ARIZ
ARIZONA STATE,ASU
Arkansas State,ARST
ARKANSAS,ARK
ARMY,ARMY
AUBURN,AUB
BALL STATE,BALL
BAYLOR,BAY
BOISE STATE,BSU
BOSTON COLLEGE,BC
BOWLING GREEN,BGSU
BUFFALO,BUFF
BYU,BYU
CENTRAL MICHIGAN,CMU
CALIFORNIA,CAL
CHARLOTTE,CHAR
CINCINNATI,CIN
CLEMSON,CLEM
COASTAL CAROLINA,CCU
COLORADO STATE,CSU
COLORADO,COLO
OLD DOMINION,ODU
DELAWARE,DEL
DUKE,DUKE
EAST CAROLINA,ECU
EAST MICHIGAN,EMU
FLORIDA ATLANTIC,FAU
FLORIDA INTERNATIONAL,FIU
FLORIDA,FLA
FLORIDA STATE,FSU
FRESNO STATE,FRES
GEORGIA SOUTHERN,GASO
GEORGIA STATE,GSU
GEORGIA TECH,GT
GEORGIA,UGA
HAWAII,HAW
HOUSTON,HOU
ILLINOIS,ILL
INDIANA,IU
IOWA,IOWA
IOWA STATE,ISU
JACKSONVILLE STATE,JSU
KANSAS,KU
KANSAS STATE,KSU
KENT STATE,KENT
KENTUCKY,UK
LOUISIANA,ULL
UL MONROE,ULM
Louisiana Tech,LT
LIBERTY,LIB
LOUISVILLE,LOU
LSU,LSU
MARSHALL,MRSH
MARYLAND,MD
MEMPHIS,MEM
MIAMI,MIA
MIAMI (OH),M-OH
MICHIGAN STATE,MSU
MICHIGAN,MICH
Middle Tennessee,MTU
MINNESOTA,MINN
Mississippi State,MSST
MISSOURI,MIZZ
MISSOURI STATE,MOSU
NORTH CAROLINA,UNC
NORTH ILLINOIS,NIU
NORTH TEXAS,UNT
NAVY,NAVY
NC STATE,NCST
NEBRASKA,NEB
NEVADA,NEV
NEW MEXICO STATE,NMSU
NEW MEXICO,UNM
NOTRE DAME,ND
Northwestern,NW
OHIO,OHIO
OHIO STATE,OSU
OKLAHOMA STATE,OKST
OKLAHOMA,OKLA
OLE MISS,MISS
OREGON,ORE
OREGON STATE,ORST
PENN STATE,PSU
PFF TAG,ICON TAG
PITTSBURGH,PITT
PURDUE,PUR
RICE,RICE
RUTGERS,RUTG
SOUTH ALABAMA,USA
SOUTH CAROLINA,SOCAR
SAN DIEGO STATE,SDSU
San JOSE State,SJSU
SMU,SMU
SOUTHERN MISS,USM
STANFORD,STAN
SYRACUSE,SYR
TCU,TCU
TEMPLE,TEM
TENNESSEE,TENN
TEXAS,TEX
TEXAS A&M,TAM
TEXAS STATE,TXST
TEXAS TECH,TTU
TOLEDO,TOL
TROY,TROY
TULANE,TULN
TULSA,TLSA
UAB,UAB
UCF,UCF
UCLA,UCLA
UCONN,CONN
MASSACHUSETTS,MASS
UNLV,UNLV
USC,USC
South Florida,USF
UTAH,UTAH
UTAH STATE,USU
UTEP,UTEP
UTSA,UTSA
Virginia Tech,VT
VANDERBILT,VAN
VIRGINIA,UVA
WESTERN KENTUCKY,WKU
WESTERN MICHIGAN,WMU
WEST VIRGINIA,WVU
WAKE FOREST,WAKE
WASHINGTON STATE,WSU
WASHINGTON,WASH
WISCONSIN,WIS
WYOMING,WYO
JAMES MADISON,JMU
DRAFT,
PORTAL,
SAM HOUSTON,SHSU
KENNESAW STATE,KES
